dtm_name,image_id1,image_id2,url
DTEEC_011265_1560_011331_1560_U01,ESP_011265_1560,ESP_011331_1560,https://www.uahirise.org/PDS/DTM/ESP/ORB_011200_011299/ESP_011265_1560_ESP_011331_1560/
DTEEC_011373_1865_010872_1865_U01,PSP_011373_1865,ESP_010872_1865,https://www.uahirise.org/PDS/DTM/ESP/ORB_011300_011399/ESP_011373_1865_PSP_010872_1865/
DTEEC_011384_2185_011661_2185_A01,ESP_011384_2185,ESP_011661_2185,https://www.uahirise.org/PDS/DTM/ESP/ORB_011300_011399/ESP_011384_2185_ESP_011661_2185/
DTEEC_011417_1755_011562_1755_U01,ESP_011417_1755,ESP_011562_1755,https://www.uahirise.org/PDS/DTM/ESP/ORB_011400_011499/ESP_011417_1755_ESP_011562_1755/
DTEEC_011458_1640_005683_1640_A01,PSP_011458_1640,ESP_005683_1640,https://www.uahirise.org/PDS/DTM/ESP/ORB_011400_011499/ESP_011458_1640_PSP_005683_1640/
DTEEC_011507_1620_005732_1620_A01,PSP_011507_1620,ESP_005732_1620,https://www.uahirise.org/PDS/DTM/ESP/ORB_011500_011599/ESP_011507_1620_PSP_005732_1620/
DTEEC_011523_1695_012367_1695_A01,ESP_011523_1695,ESP_012367_1695,https://www.uahirise.org/PDS/DTM/ESP/ORB_011500_011599/ESP_011523_1695_ESP_012367_1695/
DTEEC_011635_1510_029542_1510_A01,ESP_011635_1510,ESP_029542_1510,https://www.uahirise.org/PDS/DTM/ESP/ORB_011600_011699/ESP_011635_1510_ESP_029542_1510/
DTEEC_011676_1700_028449_1700_A01,ESP_011676_1700,ESP_028449_1700,https://www.uahirise.org/PDS/DTM/ESP/ORB_011600_011699/ESP_011676_1700_ESP_028449_1700/
DTEEC_011817_1395_011672_1395_O01,ESP_011817_1395,ESP_011672_1395,https://www.uahirise.org/PDS/DTM/ESP/ORB_011800_011899/ESP_011817_1395_ESP_011672_1395/
DTEEC_011844_1855_002812_1855_A01,PSP_011844_1855,ESP_002812_1855,https://www.uahirise.org/PDS/DTM/ESP/ORB_011800_011899/ESP_011844_1855_PSP_002812_1855/
DTEEC_011855_2275_005935_2275_A01,PSP_011855_2275,ESP_005935_2275,https://www.uahirise.org/PDS/DTM/ESP/ORB_011800_011899/ESP_011855_2275_PSP_005935_2275/
